,Mana,DBFLD,Name,Rarity,Card Set,Class,N,G,W1,W2,Type,Tribe,ATK,HP,Card Text,Keywords,Format,Tier List,,#Rarity,#Collection,#Class,(N) P-Total,(N) U-Total,(N) Gold,Missing,Use W1?,Use W2?,1-W1,1-W2,W-Total,(G) P-Total,(G) U-Total,(G) Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,48798,Beakered Lightning,Common,Boomsday,Shaman,2,2,20%,20%,Spell,,,,Deal 1 damage to all minions. Overload: (2),Overload,Standard,FALSE,,1,14,7,2,1,100,0,FALSE,FALSE,80%,80%,2,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,48976,Topsy Turvy,Common,Boomsday,Priest,2,0,38%,38%,Spell,,,,Swap a minion's Attack and Health.,,Standard,FALSE,,1,14,5,2,1,0,0,FALSE,FALSE,62%,62%,2,0,1,0,,,How To Sort This Card Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48984,Autodefense Matrix,Common,Boomsday,Paladin,2,1,25%,25%,Spell,,,,"Secret: When one of your minions is attacked, give it Divine Shield.",Secret,Standard,FALSE,,1,14,4,2,1,50,0,FALSE,FALSE,75%,75%,2,1,1,5,,,1.  Go To Data --> Named Ranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,47887,Biology Project,Common,Boomsday,Druid,2,0,40%,40%,Spell,,,,Each player gains 2 Mana Crystals.,,Standard,FALSE,,1,14,1,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,"2. Click ""Sort_Collection"" which will highlight all the cards and hidden cells.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48691,Eternium Rover,Common,Boomsday,Warrior,2,0,55%,40%,Minion,Mech,1,3,"Whenever this minion takes damage, gain 2 Armor.",,Standard,FALSE,,1,14,9,2,1,0,0,FALSE,FALSE,45%,60%,2,0,1,0,,,"3. Right Click on the highlighted cells and select ""Sort Range...""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48025,Faithful Lumi,Common,Boomsday,Neutral,2,1,35%,35%,Minion,Mech,1,1,Battlecry: Give a friendly Mech +1/+1.,Battlecry,Standard,FALSE,,1,14,10,2,1,50,0,FALSE,FALSE,65%,65%,2,1,1,5,,,"4. IMPORTANT:  Check the box, ""Data Has Header Row""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48982,Glow-Tron,Common,Boomsday,Paladin,2,0,65%,65%,Minion,Mech,1,3,Magnetic,Magnetic,Standard,FALSE,,1,14,4,2,1,0,0,FALSE,FALSE,35%,35%,2,0,1,0,,,5.  Select how you want to sort.  They are all named properly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,47837,Goblin Bomb,Common,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,0,2,Deathrattle: Deal 2 damage to the enemy hero.,Deathrattle,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,"6.  To add a secondary sort, click ""Add Another Sort Coloumn""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48886,Mecharoo,Common,Boomsday,Neutral,2,0,35%,35%,Minion,Mech,1,1,Deathrattle: Summon a 1/1 Jo-E Bot.,Deathrattle,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,48519,Secret Plan,Common,Boomsday,Hunter,2,0,50%,55%,Spell,,,,Discover a Secret.,,Standard,FALSE,,1,14,2,2,1,0,0,FALSE,FALSE,50%,45%,2,0,1,0,,,"A. To sort Rarity in proper order, not alphabetical, sort by #Rarity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,49081,Shooting Star,Common,Boomsday,Mage,2,0,40%,40%,Spell,,,,Deal 1 damage to a minion and the minions next to it.,,Standard,FALSE,,1,14,3,2,1,0,0,FALSE,FALSE,60%,60%,2,0,1,0,,,"B. To sort Collection in proper order, not alphabetical, sort by #Collection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,47775,Skaterbot,Common,Boomsday,Neutral,2,0,20%,20%,Minion,Mech,1,1,Magnetic Rush,Magnetic; Rush,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,"C. Don't forget you can use ""CTL+F"" to instantly find a single card.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,47840,Bomb Toss,Common,Boomsday,Hunter,2,0,35%,35%,Spell,,,,Deal 2 damage. Summon a 0/2 Goblin Bomb.,,Standard,FALSE,,1,14,2,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,"D.  Client Default Sort is: #Class, Mana, then Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48566,Cloakscale Chemist,Common,Boomsday,Neutral,2,0,15%,15%,Minion,,1,2,Stealth Divine Shield,Divine Shield; Stealth,Standard,FALSE,,1,14,10,2,1,0,0,FALSE,FALSE,85%,85%,2,0,1,0,,,"E.  My Preference is: #Collection (Z-->A), #Rarity, Mana, then Name.  Makes Missing Cards page look better.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48759,Cloning Device,Common,Boomsday,Priest,2,0,20%,20%,Spell,,,,Discover a copy of a minion in your opponent's deck.,,Standard,FALSE,,1,14,5,2,1,0,0,FALSE,FALSE,80%,80%,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,48929,Dead Ringer,Common,Boomsday,Priest,2,0,35%,35%,Minion,Mech,2,1,Deathrattle: Draw a Deathrattle minion from your deck.,Deathrattle,Standard,FALSE,,1,14,5,2,1,0,0,FALSE,FALSE,65%,65%,2,0,1,0,,,"To import from an older sheet, with classes on seperate pages, sort the older sheet (and this sheet) by a common factor like Mana and then Name.  Everything Should line up in order to copy/paste in your data values into H and I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
