Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Gluttonous Ooze,Spider Bomb ×2,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Giggling Inventor ×2,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,,"200,000"
Spell Hunter,Candleshot ×2,Hunter's Mark ×2,Secret Plan ×2,Tracking ×2,Explosive Trap ×2,Freezing Trap ×2,Wandering Monster ×2,Animal Companion ×2,Eaglehorn Bow ×2,Kill Command ×2,Unleash the Hounds ×2,Flanking Strike ×2,Lesser Emerald Spellstone ×2,Deathstalker Rexxar ★,To My Side! ×2,Rhok'delar ★,,,,,,,,,,,,,,,"130,000"
Spell Hunter,Dire Mole ×2,Tracking ×2,Crackling Razormaw ×2,Explosive Trap ×2,Freezing Trap ×2,Wandering Monster ×2,Animal Companion ×2,Bearshark ×2,Deadly Shot,Eaglehorn Bow ×2,Kill Command ×2,Unleash the Hounds ×2,Flanking Strike ×2,Houndmaster ×2,Lesser Emerald Spellstone ×2,Deathstalker Rexxar ★,,,,,,,,,,,,,,,"54,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Gluttonous Ooze,Mind Control Tech ×2,Spider Bomb ×2,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,,"39,000"
Secret Hunter,Dire Mole ×2,Secretkeeper ×2,Crackling Razormaw ×2,Explosive Trap,Freezing Trap ×2,Rat Trap,Snake Trap,Snipe,Venomstrike Trap,Wandering Monster ×2,Animal Companion ×2,Eaglehorn Bow ×2,Kill Command ×2,Flanking Strike ×2,Houndmaster ×2,Professor Putricide ★,Lesser Emerald Spellstone ×2,Subject 9 ★,Deathstalker Rexxar ★,,,,,,,,,,,,"37,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Gluttonous Ooze,Spider Bomb ×2,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Saronite Chain Gang,Carnivorous Cube ×2,Giggling Inventor,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,"36,000"
Secret Hunter,Dire Mole ×2,Secretkeeper ×2,Tracking ×2,Crackling Razormaw ×2,Explosive Trap,Freezing Trap,Snake Trap,Venomstrike Trap ×2,Wandering Monster ×2,Animal Companion ×2,Bearshark,Eaglehorn Bow ×2,Kill Command ×2,Houndmaster ×2,Houndmaster Shaw ★,Lesser Emerald Spellstone ×2,Subject 9 ★,Deathstalker Rexxar ★,Mossy Horror,,,,,,,,,,,,"28,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Fireworks Tech ×2,Loot Hoarder ×2,Sunfury Protector,Devilsaur Egg ×2,Spider Bomb ×2,Stitched Tracker,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Zilliax ★,Deathstalker Rexxar ★,Mechanical Whelp ×2,Mossy Horror,,,,,,,,,,,,,"28,000"
Spell Hunter,Candleshot ×2,Hunter's Mark ×2,Secret Plan ×2,Tracking ×2,Explosive Trap ×2,Freezing Trap,Wandering Monster ×2,Animal Companion ×2,Eaglehorn Bow ×2,Kill Command ×2,Unleash the Hounds ×2,Flanking Strike ×2,Lesser Emerald Spellstone ×2,Deathstalker Rexxar ★,To My Side! ×2,Crushing Walls,Rhok'delar ★,,,,,,,,,,,,,,"27,000"
Secret Hunter,Dire Mole ×2,Secretkeeper ×2,Tracking ×2,Crackling Razormaw ×2,Explosive Trap,Freezing Trap,Snake Trap ×2,Venomstrike Trap ×2,Wandering Monster,Animal Companion ×2,Bearshark,Eaglehorn Bow ×2,Kill Command ×2,Houndmaster ×2,Houndmaster Shaw ★,Lesser Emerald Spellstone ×2,Subject 9 ★,Deathstalker Rexxar ★,Mossy Horror,,,,,,,,,,,,"22,000"
Secret Hunter,Dire Mole ×2,Secretkeeper ×2,Acidic Swamp Ooze,Crackling Razormaw ×2,Explosive Trap ×2,Freezing Trap,Snake Trap,Venomstrike Trap ×2,Wandering Monster,Animal Companion ×2,Eaglehorn Bow ×2,Kill Command ×2,Flanking Strike ×2,Houndmaster ×2,Spellbreaker,Lesser Emerald Spellstone ×2,Subject 9 ★,Deathstalker Rexxar ★,Mossy Horror,,,,,,,,,,,,"19,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Spider Bomb ×2,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Giggling Inventor ×2,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror ×2,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,,,"15,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Gluttonous Ooze,Spider Bomb ×2,Stitched Tracker,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror ×2,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,,"14,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Spider Bomb ×2,Stitched Tracker,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Giggling Inventor ×2,Witchwood Grizzly ×2,Deathstalker Rexxar ★,Mossy Horror,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,,"11,000"
Deathrattle Hunter,Candleshot ×2,Hunter's Mark ×2,Play Dead ×2,Tracking ×2,Prince Keleseth ★,Devilsaur Egg ×2,Gluttonous Ooze,Spider Bomb ×2,Terrorscale Stalker ×2,Flanking Strike ×2,Houndmaster Shaw ★,Carnivorous Cube ×2,Giggling Inventor,Witchwood Grizzly ×2,Zilliax ★,Deathstalker Rexxar ★,Mossy Horror,Savannah Highmane,Kathrena Winterwisp ★,King Krush ★,,,,,,,,,,,"10,000"
