Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Resurrect Priest,Holy Smite ×2,Bloodmage Thalnos ★,Mind Blast ×2,Radiant Elemental ×2,Shadow Visions ×2,Shadow Word: Pain,Spirit Lash ×2,Gilded Gargoyle ×2,Shadow Word: Death,Eternal Servitude ×2,Lyra the Sunshard ★,Zilliax ★,Shadow Essence ×2,Lesser Diamond Spellstone ×2,Prophet Velen ★,Psychic Scream ×2,The Lich King ★,Malygos ★,Obsidian Statue,Zerek's Cloning Gallery ★,,,,,,,,,,,"130,000"
Mecha'thun Priest,Circle of Healing ×2,Silence,Northshire Cleric ×2,Power Word: Shield ×2,Bloodmage Thalnos ★,Divine Hymn ×2,Loot Hoarder ×2,Radiant Elemental ×2,Shadow Visions ×2,Spirit Lash ×2,Wild Pyromancer ×2,Acolyte of Pain ×2,Ticking Abomination ×2,Reckless Experimenter,Coffin Crasher,"Hemet, Jungle Hunter ★",Psychic Scream ×2,Mecha'thun ★,,,,,,,,,,,,,"43,000"
Resurrect Priest,Holy Smite,Power Word: Shield ×2,Mind Blast ×2,Radiant Elemental ×2,Shadow Visions ×2,Shadow Word: Pain ×2,Spirit Lash ×2,Gilded Gargoyle ×2,Shadow Word: Death,Eternal Servitude ×2,Lyra the Sunshard ★,Zilliax ★,Shadow Essence ×2,Lesser Diamond Spellstone ×2,Prophet Velen ★,Psychic Scream ×2,The Lich King ★,Malygos ★,Zerek's Cloning Gallery ★,,,,,,,,,,,,"26,000"
Control Priest,Northshire Cleric ×2,Power Word: Shield ×2,Mind Blast ×2,Shadow Visions ×2,Wild Pyromancer ×2,Acolyte of Pain ×2,Omega Medic ×2,Twilight Acolyte ×2,Duskbreaker ×2,Twilight Drake ×2,Giggling Inventor ×2,Cabal Shadow Priest ×2,Psychic Scream ×2,Primordial Drake ×2,Shadowreaper Anduin ★,Alexstrasza ★,,,,,,,,,,,,,,,"18,000"
Resurrect Priest,Binding Heal,Power Word: Shield ×2,Bloodmage Thalnos ★,Mind Blast ×2,Radiant Elemental ×2,Shadow Visions ×2,Shadow Word: Pain,Spirit Lash ×2,Gilded Gargoyle ×2,Shadow Word: Death,Eternal Servitude ×2,Lyra the Sunshard ★,Zilliax ★,Shadow Essence ×2,Lesser Diamond Spellstone ×2,Prophet Velen ★,Psychic Scream ×2,The Lich King ★,Malygos ★,Zerek's Cloning Gallery ★,,,,,,,,,,,"17,000"
Combo Priest,Circle of Healing ×2,Silence ×2,Inner Fire ×2,Northshire Cleric ×2,Power Word: Shield ×2,Divine Spirit ×2,Radiant Elemental ×2,Shadow Ascendant ×2,Shadow Visions ×2,Upgradeable Framebot ×2,Wild Pyromancer ×2,Acolyte of Pain ×2,Bronze Gatekeeper ×2,Mass Dispel,Unpowered Steambot ×2,Lyra the Sunshard ★,,,,,,,,,,,,,,,"17,000"
Resurrect Priest,Holy Smite,Power Word: Shield ×2,Bloodmage Thalnos ★,Mind Blast ×2,Radiant Elemental ×2,Shadow Visions ×2,Shadow Word: Pain,Spirit Lash ×2,Gilded Gargoyle ×2,Shadow Word: Death,Eternal Servitude ×2,Lyra the Sunshard ★,Zilliax ★,Shadow Essence ×2,Lesser Diamond Spellstone ×2,Prophet Velen ★,Psychic Scream ×2,The Lich King ★,Malygos ★,Zerek's Cloning Gallery ★,,,,,,,,,,,"15,000"
Mecha'thun Quest Priest,Awaken the Makers ★,Northshire Cleric ×2,Power Word: Shield ×2,Dead Ringer ×2,Loot Hoarder ×2,Spirit Lash ×2,Devilsaur Egg ×2,Shadow Word: Death ×2,Vivid Nightmare ×2,Spiritsinger Umbra ★,Carnivorous Cube ×2,Power Word: Replicate ×2,Reckless Experimenter ×2,"Zerek, Master Cloner ★",Psychic Scream ×2,Obsidian Statue ×2,Zerek's Cloning Gallery ★,,,,,,,,,,,,,,"13,000"
Combo Priest,Inner Fire ×2,Northshire Cleric ×2,Power Word: Shield ×2,Test Subject ×2,Divine Spirit ×2,Radiant Elemental ×2,Shadow Visions ×2,Dragon Soul ★,Extra Arms ×2,Nightmare Amalgam ×2,Vivid Nightmare ×2,Duskbreaker ×2,Twilight Drake ×2,Lyra the Sunshard ★,Power Word: Replicate ×2,"Zerek, Master Cloner ★",Ysera ★,,,,,,,,,,,,,,"9,500"
Resurrect Priest,Binding Heal,Power Word: Shield ×2,Bloodmage Thalnos ★,Mind Blast ×2,Radiant Elemental ×2,Shadow Visions ×2,Shadow Word: Pain ×2,Spirit Lash ×2,Gilded Gargoyle ×2,Shadow Word: Death,Eternal Servitude ×2,Lyra the Sunshard ★,Shadow Essence ×2,Lesser Diamond Spellstone ×2,Prophet Velen ★,Psychic Scream ×2,The Lich King ★,Malygos ★,Zerek's Cloning Gallery ★,,,,,,,,,,,,"9,500"
