Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Odd Rogue,Argent Squire ×2,Cold Blood ×2,Deadly Poison ×2,Dire Mole ×2,Fire Fly ×2,Southsea Deckhand ×2,Blood Knight ×2,Hench-Clan Thug ×2,SI:7 Agent ×2,Vicious Fledgling ×2,Void Ripper,Fungalmancer ×2,Giggling Inventor ×2,Leeroy Jenkins ★,Myra's Unstable Element ★,Vilespine Slayer ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"130,000"
Quest Rogue,Preparation ×2,Shadowstep ×2,Glacial Shard ×2,Southsea Deckhand ×2,Stonetusk Boar ×2,The Caverns Below ★,Wax Elemental ×2,Novice Engineer ×2,Vicious Scalehide ×2,Youthful Brewmaster ×2,Mimic Pod ×2,Sonya Shadowdancer ★,Zola the Gorgon ★,Elven Minstrel ×2,Giggling Inventor ×2,Vanish ×2,Valeera the Hollow ★,,,,,,,,,,,,,,"90,000"
Quest Rogue,Preparation ×2,Shadowstep ×2,Glacial Shard ×2,Southsea Deckhand ×2,Stonetusk Boar ×2,The Caverns Below ★,Novice Engineer ×2,Vicious Scalehide ×2,Youthful Brewmaster ×2,Fan of Knives ×2,Mimic Pod ×2,Sonya Shadowdancer ★,Zola the Gorgon ★,Elven Minstrel ×2,Giggling Inventor ×2,Vanish ×2,Valeera the Hollow ★,,,,,,,,,,,,,,"81,000"
Odd Rogue,Argent Squire ×2,Cold Blood ×2,Deadly Poison ×2,Dire Mole ×2,Fire Fly ×2,Southsea Deckhand ×2,Blink Fox ×2,Edwin VanCleef ★,Hench-Clan Thug ×2,Ironbeak Owl,SI:7 Agent ×2,Vicious Fledgling ×2,Fungalmancer ×2,Giggling Inventor ×2,Leeroy Jenkins ★,Vilespine Slayer ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"58,000"
Odd Rogue,Argent Squire ×2,Cold Blood ×2,Deadly Poison ×2,Dire Mole ×2,Fire Fly ×2,Southsea Deckhand ×2,Blink Fox ×2,Blood Knight ×2,Hench-Clan Thug ×2,SI:7 Agent ×2,Vicious Fledgling ×2,Fungalmancer ×2,Giggling Inventor ×2,Leeroy Jenkins ★,Vilespine Slayer ×2,Baku the Mooneater ★,,,,,,,,,,,,,,,"56,000"
Quest Rogue,Backstab,Preparation ×2,Shadowstep ×2,Glacial Shard ×2,Southsea Deckhand ×2,Stonetusk Boar,The Caverns Below ★,Wax Elemental ×2,Novice Engineer ×2,Vicious Scalehide ×2,Youthful Brewmaster ×2,Fan of Knives,Mimic Pod,Sonya Shadowdancer ★,Zola the Gorgon ★,Elven Minstrel ×2,Giggling Inventor ×2,Vanish ×2,Valeera the Hollow ★,,,,,,,,,,,,"32,000"
Quest Rogue,Preparation ×2,Shadowstep ×2,Glacial Shard ×2,Southsea Deckhand ×2,Stonetusk Boar,The Caverns Below ★,Wax Elemental ×2,Novice Engineer ×2,Vicious Scalehide ×2,Youthful Brewmaster ×2,Fan of Knives ×2,Mimic Pod,Sonya Shadowdancer ★,Zola the Gorgon ★,Elven Minstrel ×2,Giggling Inventor ×2,Vanish ×2,Valeera the Hollow ★,,,,,,,,,,,,,"26,000"
Odd Rogue,Argent Squire ×2,Cold Blood ×2,Deadly Poison ×2,Dire Mole ×2,Fire Fly ×2,Southsea Deckhand ×2,Blink Fox ×2,Hench-Clan Thug ×2,Ironbeak Owl,SI:7 Agent ×2,Tar Creeper ×2,Vicious Fledgling ×2,Cobalt Scalebane,Fungalmancer ×2,Leeroy Jenkins ★,Vilespine Slayer ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"21,000"
Malygos Rogue,Backstab ×2,Preparation ×2,Sinister Strike ×2,Evasion ×2,Eviscerate ×2,Razorpetal Volley ×2,Roll the Bones ×2,Sap ×2,Shiv ×2,Fan of Knives ×2,Necrium Blade ×2,Elven Minstrel ×2,Kobold Illusionist,Necrium Vial,Vanish ×2,Malygos ★,Valeera the Hollow ★,,,,,,,,,,,,,,"19,000"
Odd Rogue,Argent Squire ×2,Cold Blood ×2,Deadly Poison ×2,Dire Mole ×2,Fire Fly ×2,Southsea Deckhand ×2,Blink Fox ×2,Blood Knight,Hench-Clan Thug ×2,SI:7 Agent ×2,Tar Creeper,Void Ripper ×2,Cobalt Scalebane,Fungalmancer ×2,Giggling Inventor,Leeroy Jenkins ★,Vilespine Slayer ×2,Baku the Mooneater ★,,,,,,,,,,,,,"17,000"
