Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Bloodmage Thalnos ★,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"110,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Celestial Emissary,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"100,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell ×2,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,,"57,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Mirror Entity,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"42,000"
Spiteful Mage,Argent Squire,Fire Fly ×2,Glacial Shard ×2,Prince Keleseth ★,Blood Knight ×2,Coldwraith ×2,Mind Control Tech ×2,Tar Creeper ×2,Saronite Chain Gang ×2,Spellbreaker ×2,Water Elemental,Cobalt Scalebane,Fungalmancer ×2,Giggling Inventor ×2,Spiteful Summoner ×2,The Lich King ★,Frost Lich Jaina ★,Pyroblast ×2,,,,,,,,,,,,,"27,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Frostbolt ×2,Mana Addict,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"27,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Amani Berserker ×2,Arcanologist ×2,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"26,000"
Freeze Mage,Arcane Artificer ×2,Arcanologist,Frostbolt,Loot Hoarder ×2,Primordial Glyph ×2,Research Project ×2,Sorcerer's Apprentice ×2,Acolyte of Pain,Arcane Intellect ×2,Frost Nova ×2,Ice Barrier ×2,Simulacrum ×2,Stargazer Luna ★,Cone of Cold ×2,Leyline Manipulator,Molten Reflection ×2,Blizzard ×2,Archmage Antonidas ★,,,,,,,,,,,,,"18,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Flame Geyser,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"18,000"
Tempo Mage,Arcane Missiles,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Flame Geyser,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Arcane Intellect ×2,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Mirror Entity,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,"18,000"
Big Spell Mage,Arcane Artificer ×2,Doomsayer ×2,Raven Familiar ×2,Shimmering Tempest ×2,Acolyte of Pain ×2,Tar Creeper ×2,Polymorph ×2,Arcane Tyrant ×2,Dragon's Fury ×2,Blizzard ×2,Meteor ×2,Baron Geddon ★,Flamestrike ×2,Spiteful Summoner ×2,Dragoncaller Alanna ★,Frost Lich Jaina ★,Pyroblast,,,,,,,,,,,,,,"17,000"
Big Spell Mage,Arcane Artificer ×2,Doomsayer ×2,Raven Familiar ×2,Gluttonous Ooze,Voodoo Doll,Bright-Eyed Scout ×2,Polymorph ×2,Arcane Tyrant,Dragon's Fury ×2,Giggling Inventor ×2,Blizzard ×2,Meteor ×2,Skulking Geist,Astromancer ×2,Baron Geddon ★,Flamestrike,The Lich King ★,Alexstrasza ★,Dragoncaller Alanna ★,Frost Lich Jaina ★,,,,,,,,,,,"15,000"
Tempo Mage,Arcane Missiles ×2,Mana Wyrm ×2,Shooting Star ×2,Arcanologist ×2,Frostbolt ×2,Primordial Glyph ×2,Sorcerer's Apprentice ×2,Spellshifter ×2,Arcane Intellect,Cinderstorm ×2,Counterspell,Explosive Runes ×2,Kirin Tor Mage ×2,Stargazer Luna ★,Cosmic Anomaly ×2,Fireball ×2,Aluneth ★,,,,,,,,,,,,,,"14,000"
Big Spell Mage,Arcane Artificer ×2,Prince Keleseth ★,Acolyte of Pain ×2,Gluttonous Ooze,Mind Control Tech ×2,Tar Creeper ×2,Polymorph ×2,Saronite Chain Gang ×2,Arcane Tyrant ×2,Dragon's Fury ×2,Giggling Inventor ×2,Blizzard ×2,Meteor ×2,Skulking Geist,Flamestrike ×2,Sindragosa ★,Dragoncaller Alanna ★,Frost Lich Jaina ★,,,,,,,,,,,,,"13,000"
