Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Odd Paladin,Acherus Veteran ×2,Argent Squire ×2,Blessing of Might ×2,Fire Fly ×2,Lost in the Jungle ×2,Righteous Protector ×2,Divine Favor,Raid Leader ×2,Stonehill Defender ×2,Unidentified Maul ×2,Fungalmancer ×2,Leeroy Jenkins ★,Level Up! ×2,Corridor Creeper ×2,Stormwind Champion,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"71,000"
OTK DK Paladin,Righteous Protector ×2,Bloodmage Thalnos ★,Crystalsmith Kangor ★,Equality ×2,Loot Hoarder ×2,Plated Beetle,Wild Pyromancer ×2,Aldor Peacekeeper,Blackwald Pixie,Stonehill Defender ×2,Zola the Gorgon ★,Ancient Brewmaster ×2,Consecration ×2,Prismatic Lens,Truesilver Champion ×2,Call to Arms ×2,Giggling Inventor ×2,Shrink Ray,Sunkeeper Tarim ★,Uther of the Ebon Blade ★,,,,,,,,,,,"20,000"
Odd Mech Paladin,Glow-Tron ×2,Lost in the Jungle ×2,Righteous Protector ×2,Bronze Gatekeeper ×2,Nightmare Amalgam,Stonehill Defender ×2,Unidentified Maul ×2,Void Ripper ×2,Fungalmancer ×2,Giggling Inventor ×2,Level Up! ×2,Mechano-Egg ×2,Wargear ×2,Zilliax ★,Kangor's Endless Army ★,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"13,000"
Odd Paladin,Acherus Veteran ×2,Argent Squire ×2,Blessing of Might ×2,Fire Fly,Lost in the Jungle ×2,Righteous Protector ×2,Blood Knight,Raid Leader ×2,Unidentified Maul ×2,Void Ripper ×2,Fungalmancer ×2,Giggling Inventor ×2,Leeroy Jenkins ★,Level Up! ×2,Corridor Creeper ×2,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"13,000"
Even Paladin,Crystalsmith Kangor ★,Crystology ×2,Drygulch Jailor ×2,Equality ×2,Hydrologist ×2,Knife Juggler ×2,Vicious Scalehide ×2,Blessing of Kings ×2,Consecration ×2,Lightfused Stegodon ×2,Saronite Chain Gang ×2,The Glass Knight ★,Truesilver Champion ×2,Genn Greymane ★,Spikeridged Steed ×2,Sunkeeper Tarim ★,Silver Sword,Tirion Fordring ★,,,,,,,,,,,,,"12,000"
Mech Paladin,Glow-Tron ×2,Righteous Protector ×2,Skaterbot ×2,Crystology ×2,Equality,Hydrologist ×2,Aldor Peacekeeper ×2,Bronze Gatekeeper ×2,Annoy-o-Module ×2,Consecration ×2,Coppertail Imposter ×2,Truesilver Champion,Mechano-Egg ×2,Wargear ×2,Zilliax ★,Sunkeeper Tarim ★,Kangor's Endless Army ★,Tirion Fordring ★,,,,,,,,,,,,,"11,000"
Odd Paladin,Acherus Veteran ×2,Argent Squire ×2,Blessing of Might ×2,Fire Fly ×2,Lost in the Jungle ×2,Righteous Protector ×2,Divine Favor,Raid Leader ×2,Stonehill Defender ×2,Unidentified Maul ×2,Fungalmancer ×2,Level Up! ×2,Prince Liam ★,Corridor Creeper ×2,Stormwind Champion,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"11,000"
Odd Paladin,Acherus Veteran ×2,Argent Squire ×2,Blessing of Might ×2,Fire Fly ×2,Lost in the Jungle ×2,Righteous Protector ×2,Divine Favor ×2,Raid Leader ×2,Stonehill Defender ×2,Unidentified Maul ×2,Fungalmancer ×2,Level Up! ×2,Corridor Creeper ×2,Stormwind Champion,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,,"11,000"
OTK DK Paladin,Righteous Protector ×2,Bloodmage Thalnos ★,Crystalsmith Kangor ★,Equality ×2,Loot Hoarder ×2,Plated Beetle,Wild Pyromancer ×2,Blackwald Pixie,Gluttonous Ooze,Stonehill Defender ×2,Zola the Gorgon ★,Ancient Brewmaster ×2,Consecration ×2,Prismatic Lens,Truesilver Champion ×2,Call to Arms ×2,Giggling Inventor ×2,Shrink Ray,Sunkeeper Tarim ★,Uther of the Ebon Blade ★,,,,,,,,,,,"10,000"
Odd Paladin,Blessing of Might ×2,Fire Fly ×2,Glow-Tron ×2,Lost in the Jungle ×2,Mecharoo ×2,Righteous Protector ×2,Blood Knight ×2,Divine Favor,Raid Leader,Unidentified Maul ×2,Void Ripper,Fungalmancer ×2,Giggling Inventor ×2,Level Up! ×2,Corridor Creeper ×2,Vinecleaver ×2,Baku the Mooneater ★,,,,,,,,,,,,,,"10,000"
Odd Paladin,Acherus Veteran ×2,Argent Squire ×2,Blessing of Might ×2,Dire Mole ×2,Glacial Shard ×2,Lost in the Jungle ×2,Righteous Protector ×2,Divine Favor ×2,Ironbeak Owl,Stonehill Defender ×2,Unidentified Maul ×2,Fungalmancer ×2,Level Up! ×2,Corridor Creeper ×2,Stormwind Champion,Vinecleaver,Baku the Mooneater ★,,,,,,,,,,,,,,"9,200"
