Deck Name,Card 0,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Games Played
Odd Warrior,Omega Assembly ×2,Shield Slam ×2,Gluttonous Ooze,Ironbeak Owl ×2,Mind Control Tech ×2,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Big Game Hunter,Brawl ×2,Direhorn Hatchling ×2,Dyn-o-matic ×2,Elise the Trailblazer ★,Giggling Inventor ×2,Supercollider ×2,Zilliax ★,"Dr. Boom, Mad Genius ★",Baku the Mooneater ★,,,,,,,,,,,,,"63,000"
Odd Warrior,Eternium Rover,Omega Assembly ×2,Shield Slam ×2,Whirlwind ×2,Gluttonous Ooze,Ironbeak Owl ×2,Mind Control Tech,Reckless Flurry ×2,Shield Block,Stonehill Defender ×2,Zola the Gorgon ★,Brawl ×2,Direhorn Hatchling ×2,Dyn-o-matic ×2,Elise the Trailblazer ★,Supercollider ×2,Zilliax ★,Azalina Soulthief ★,"Dr. Boom, Mad Genius ★",Baku the Mooneater ★,,,,,,,,,,,"20,000"
Odd Quest Warrior,Fire Plume's Heart ★,Shield Slam ×2,Gluttonous Ooze,Ironbeak Owl,Mind Control Tech ×2,Phantom Militia ×2,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Tar Creeper ×2,Brawl ×2,Direhorn Hatchling ×2,Dyn-o-matic ×2,Elise the Trailblazer ★,Giggling Inventor ×2,Supercollider ×2,Zilliax ★,Baku the Mooneater ★,,,,,,,,,,,,,"20,000"
Mecha'thun Warrior,Inner Rage ×2,Eternium Rover ×2,Shield Slam ×2,Town Crier,Whirlwind,Battle Rage,Slam ×2,Warpath ×2,Weapons Project ×2,Acolyte of Pain ×2,Shield Block ×2,Blood Razor,Militia Commander,Brawl,Dyn-o-matic ×2,Harrison Jones ★,Zilliax ★,"Dr. Boom, Mad Genius ★",Malygos ★,The Boomship ★,Mecha'thun ★,,,,,,,,,,"19,000"
Odd Warrior,Eternium Rover ×2,Omega Assembly ×2,Shield Slam ×2,Gluttonous Ooze,Ironbeak Owl,Mind Control Tech,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Zola the Gorgon ★,Brawl ×2,Direhorn Hatchling,Dyn-o-matic ×2,Elise the Trailblazer ★,Giggling Inventor ×2,Supercollider ×2,Zilliax ★,Azalina Soulthief ★,"Dr. Boom, Mad Genius ★",Baku the Mooneater ★,,,,,,,,,,,"19,000"
Rush Warrior,Eternium Rover ×2,Omega Assembly ×2,Town Crier ×2,Execute,Forge of Souls,Warpath ×2,Acolyte of Pain ×2,Frothing Berserker ×2,Gluttonous Ooze,Blood Razor ×2,Kor'kron Elite ×2,Militia Commander,Darius Crowley ★,Dyn-o-matic ×2,Supercollider,Zilliax ★,Mossy Horror,"Dr. Boom, Mad Genius ★",Grommash Hellscream ★,Scourgelord Garrosh ★,The Lich King ★,,,,,,,,,,"14,000"
Odd Warrior,Omega Assembly ×2,Shield Slam ×2,Whirlwind,Gluttonous Ooze,Ironbeak Owl,Mind Control Tech ×2,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Big Game Hunter,Brawl ×2,Direhorn Hatchling ×2,Dyn-o-matic ×2,Elise the Trailblazer ★,Giggling Inventor ×2,Supercollider ×2,Zilliax ★,"Dr. Boom, Mad Genius ★",Baku the Mooneater ★,,,,,,,,,,,,"13,000"
Rush Warrior,Eternium Rover ×2,Omega Assembly ×2,Skaterbot ×2,Town Crier ×2,Execute ×2,Woodcutter's Axe ×2,Bronze Gatekeeper ×2,Rabid Worgen ×2,Blood Razor ×2,Darius Crowley ★,Wargear ×2,Zilliax ★,Missile Launcher ×2,Security Rover ×2,Beryllium Nullifier ×2,Countess Ashmore ★,"Dr. Boom, Mad Genius ★",,,,,,,,,,,,,,"11,000"
Odd Quest Warrior,Fire Plume's Heart ★,Shield Slam ×2,Fiery War Axe ×2,Phantom Militia ×2,Rabid Worgen ×2,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Tar Creeper ×2,Brawl ×2,Darius Crowley ★,Direhorn Hatchling ×2,Supercollider,Witchwood Grizzly ×2,Zilliax ★,Countess Ashmore ★,Gorehowl,Tar Lord,Baku the Mooneater ★,,,,,,,,,,,,"10,000"
Odd Quest Warrior,Fire Plume's Heart ★,Shield Slam ×2,Gluttonous Ooze,Ironbeak Owl ×2,Mind Control Tech ×2,Phantom Militia ×2,Reckless Flurry ×2,Shield Block ×2,Stonehill Defender ×2,Tar Creeper ×2,Brawl ×2,Direhorn Hatchling ×2,Dyn-o-matic ×2,Giggling Inventor ×2,Supercollider ×2,Zilliax ★,Baku the Mooneater ★,,,,,,,,,,,,,,"9,500"
